Section_name,original_text,proposed_revision,justification,edit_type,diff_output
"Page 18, Survey Report (Section 3)",Domestic hot water is generated by three Lochinvar CAL 550 direct gas fired high-efficiency low NOx storage-type water heaters with a capacity of with hot water recovery rates of 1453 litres/hour.,"Domestic hot water is generated by three Lochinvar CAL 550 direct gas-fired, high-efficiency, low NOx storage-type water heaters, each with a hot water recovery rate of 1,453 litres/hour.",Removes the redundant and awkward 'with a capacity of with' and restructures the sentence for clarity. Adds hyphens for compound adjectives.,"Clarity, Grammar, Professionalism & Presentation","Domestic hot water is generated by three Lochinvar CAL 550 direct <span style='text-decoration:line-through;color:red'>gas</span> <span style='text-decoration:line-through;color:red'>fired</span> <span style='text-decoration:line-through;color:red'>high-efficiency</span> <span style='color:green;font-weight:bold'>gas-fired,</span> <span style='color:green;font-weight:bold'>high-efficiency,</span> low NOx storage-type water <span style='text-decoration:line-through;color:red'>heaters</span> <span style='color:green;font-weight:bold'>heaters,</span> <span style='color:green;font-weight:bold'>each</span> with a <span style='text-decoration:line-through;color:red'>capacity</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>with</span> hot water recovery <span style='text-decoration:line-through;color:red'>rates</span> <span style='color:green;font-weight:bold'>rate</span> of <span style='text-decoration:line-through;color:red'>1453</span> <span style='color:green;font-weight:bold'>1,453</span> litres/hour."
"Page 18, Survey Report (Section 3)","Domestic hot water to the Cove Apartments, is provided by an individual electric Heatrae Sadia Megaflow DD250 unvented domestic hot water storage calorifier with a storage capacity 250 litres",Domestic hot water to the Cove Apartments is provided by an individual electric Heatrae Sadia Megaflow DD250 unvented domestic hot water storage calorifier with a storage capacity of 250 litres.,Removes an unnecessary comma and adds the preposition 'of' for grammatical correctness.,Grammar,"Domestic hot water to the Cove <span style='text-decoration:line-through;color:red'>Apartments,</span> <span style='color:green;font-weight:bold'>Apartments</span> is provided by an individual electric Heatrae Sadia Megaflow DD250 unvented domestic hot water storage calorifier with a storage capacity <span style='color:green;font-weight:bold'>of</span> 250 <span style='text-decoration:line-through;color:red'>litres</span> <span style='color:green;font-weight:bold'>litres.</span>"
"Page 18, Survey Report (Section 3)","Domestic hot and cold water is distributed around the building in copper pipework fitted with foil faced thermal insulation complete with aluminium protection an ID labels. The primary domestic hot and cold-water services were renewed in 2023 when the hotel was converted in an aparthotel. . The services are in a good visual condition, installed to a good standard commensurate with recognised industry standards applicable at the time of installation.","Domestic hot and cold water is distributed in copper pipework fitted with foil-faced thermal insulation, complete with aluminium protection and ID labels. The primary domestic hot and cold-water services were renewed in 2023 when the hotel was converted into an aparthotel. The services are in good visual condition and were installed to a good standard.","Combines multiple minor corrections: hyphenates 'foil-faced', corrects 'an' to 'and', removes an extra period, and changes 'in an' to 'into an'. The final clause was also trimmed for conciseness.","Grammar, Professionalism & Presentation","Domestic hot and cold water is distributed <span style='text-decoration:line-through;color:red'>around</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>building</span> in copper pipework fitted with <span style='text-decoration:line-through;color:red'>foil</span> <span style='text-decoration:line-through;color:red'>faced</span> <span style='color:green;font-weight:bold'>foil-faced</span> thermal <span style='text-decoration:line-through;color:red'>insulation</span> <span style='color:green;font-weight:bold'>insulation,</span> complete with aluminium protection <span style='text-decoration:line-through;color:red'>an</span> <span style='color:green;font-weight:bold'>and</span> ID labels. The primary domestic hot and cold-water services were renewed in 2023 when the hotel was converted <span style='text-decoration:line-through;color:red'>in</span> <span style='color:green;font-weight:bold'>into</span> an aparthotel. <span style='text-decoration:line-through;color:red'>.</span> The services are in <span style='text-decoration:line-through;color:red'>a</span> good visual <span style='text-decoration:line-through;color:red'>condition,</span> <span style='color:green;font-weight:bold'>condition</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>were</span> installed to a good <span style='text-decoration:line-through;color:red'>standard</span> <span style='text-decoration:line-through;color:red'>commensurate</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>recognised</span> <span style='text-decoration:line-through;color:red'>industry</span> <span style='text-decoration:line-through;color:red'>standards</span> <span style='text-decoration:line-through;color:red'>applicable</span> <span style='text-decoration:line-through;color:red'>at</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>time</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>installation.</span> <span style='color:green;font-weight:bold'>standard.</span>"
"Page 18, Survey Report (Section 3)","En-suite bathroom/shower room facilities are provided to all bedrooms each fitted with a recessed drainage gulley, white vitreous china sanitary ware including a wall mounted wash hand basin, back to wall WC pan with recessed cistern and moulded shower tray and enamel bathtubs.","En-suite bathroom/shower room facilities are provided to all bedrooms, each fitted with a recessed drainage gully and white vitreous china sanitary ware, including a wall-mounted wash-hand basin, a back-to-wall WC pan with recessed cistern, a moulded shower tray, and enamel bathtubs.","Corrects spelling ('gulley' to 'gully'), adds hyphens to compound adjectives ('wall-mounted', 'back-to-wall'), and improves punctuation for a long list, enhancing readability.","Grammar, Professionalism & Presentation","En-suite bathroom/shower room facilities are provided to all <span style='text-decoration:line-through;color:red'>bedrooms</span> <span style='color:green;font-weight:bold'>bedrooms,</span> each fitted with a recessed drainage <span style='text-decoration:line-through;color:red'>gulley,</span> <span style='color:green;font-weight:bold'>gully</span> <span style='color:green;font-weight:bold'>and</span> white vitreous china sanitary <span style='text-decoration:line-through;color:red'>ware</span> <span style='color:green;font-weight:bold'>ware,</span> including a <span style='text-decoration:line-through;color:red'>wall</span> <span style='text-decoration:line-through;color:red'>mounted</span> <span style='text-decoration:line-through;color:red'>wash</span> <span style='text-decoration:line-through;color:red'>hand</span> <span style='color:green;font-weight:bold'>wall-mounted</span> <span style='color:green;font-weight:bold'>wash-hand</span> basin, <span style='text-decoration:line-through;color:red'>back</span> <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>wall</span> <span style='color:green;font-weight:bold'>a</span> <span style='color:green;font-weight:bold'>back-to-wall</span> WC pan with recessed <span style='text-decoration:line-through;color:red'>cistern</span> <span style='text-decoration:line-through;color:red'>and</span> <span style='color:green;font-weight:bold'>cistern,</span> <span style='color:green;font-weight:bold'>a</span> moulded shower <span style='text-decoration:line-through;color:red'>tray</span> <span style='color:green;font-weight:bold'>tray,</span> and enamel bathtubs."
"Page 18, Survey Report (Section 3)","Sanitary equipment comprising showers, baths and are fitted with thermostatic mixing taps.","Sanitary equipment, including showers and baths, is fitted with thermostatic mixing taps.",Corrects the awkward phrasing and subject-verb agreement for better grammar and clarity.,"Grammar, Clarity","Sanitary <span style='text-decoration:line-through;color:red'>equipment</span> <span style='text-decoration:line-through;color:red'>comprising</span> <span style='text-decoration:line-through;color:red'>showers,</span> <span style='text-decoration:line-through;color:red'>baths</span> <span style='color:green;font-weight:bold'>equipment,</span> <span style='color:green;font-weight:bold'>including</span> <span style='color:green;font-weight:bold'>showers</span> and <span style='text-decoration:line-through;color:red'>are</span> <span style='color:green;font-weight:bold'>baths,</span> <span style='color:green;font-weight:bold'>is</span> fitted with thermostatic mixing taps."
"Page 19, Survey Report (Section 3)",Rainwater from the roof is collected into roof gullies which discharge into seamless (SML) lightweight dry-jointed cast iron/unplasticized polyvinyl chloride (uPVC) rainwater downpipes. These run internally/externally to discharge into the local underground rainwater sewer network. Waste water from the wash hand basins and sinks discharge into unplasticized polyvinyl chloride (uPVC) waste traps which connect into SML lightweight dry-jointed cast iron downpipes to the local underground foul water network sewer system. Foul waste from the WCs discharge into vertical SML lightweight dry-jointed cast iron downpipes soil and vent stacks and enters the local foul water waste network.,"Rainwater from the roof is collected into roof gullies and discharges into SML (Système de Manutention Légère) cast iron and uPVC rainwater downpipes. These run internally/externally into the local underground rainwater sewer. Wastewater from the wash-hand basins and sinks discharges into uPVC waste traps, connecting to SML cast iron downpipes and the foul water network. Foul waste from the WCs discharges into vertical SML soil and vent stacks and enters the foul water network.",Corrects the technical description of SML pipework and improves sentence structure for clarity. Also standardises 'Wastewater' and hyphenates 'wash-hand'.,"Technical Accuracy, Grammar","Rainwater from the roof is collected into roof gullies <span style='text-decoration:line-through;color:red'>which</span> <span style='text-decoration:line-through;color:red'>discharge</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>discharges</span> into <span style='text-decoration:line-through;color:red'>seamless</span> <span style='text-decoration:line-through;color:red'>(SML)</span> <span style='text-decoration:line-through;color:red'>lightweight</span> <span style='text-decoration:line-through;color:red'>dry-jointed</span> <span style='color:green;font-weight:bold'>SML</span> <span style='color:green;font-weight:bold'>(Système</span> <span style='color:green;font-weight:bold'>de</span> <span style='color:green;font-weight:bold'>Manutention</span> <span style='color:green;font-weight:bold'>Légère)</span> cast <span style='text-decoration:line-through;color:red'>iron/unplasticized</span> <span style='text-decoration:line-through;color:red'>polyvinyl</span> <span style='text-decoration:line-through;color:red'>chloride</span> <span style='text-decoration:line-through;color:red'>(uPVC)</span> <span style='color:green;font-weight:bold'>iron</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>uPVC</span> rainwater downpipes. These run internally/externally <span style='text-decoration:line-through;color:red'>to</span> <span style='text-decoration:line-through;color:red'>discharge</span> into the local underground rainwater <span style='text-decoration:line-through;color:red'>sewer</span> <span style='text-decoration:line-through;color:red'>network.</span> <span style='text-decoration:line-through;color:red'>Waste</span> <span style='text-decoration:line-through;color:red'>water</span> <span style='color:green;font-weight:bold'>sewer.</span> <span style='color:green;font-weight:bold'>Wastewater</span> from the <span style='text-decoration:line-through;color:red'>wash</span> <span style='text-decoration:line-through;color:red'>hand</span> <span style='color:green;font-weight:bold'>wash-hand</span> basins and sinks <span style='text-decoration:line-through;color:red'>discharge</span> <span style='color:green;font-weight:bold'>discharges</span> into <span style='text-decoration:line-through;color:red'>unplasticized</span> <span style='text-decoration:line-through;color:red'>polyvinyl</span> <span style='text-decoration:line-through;color:red'>chloride</span> <span style='text-decoration:line-through;color:red'>(uPVC)</span> <span style='color:green;font-weight:bold'>uPVC</span> waste <span style='text-decoration:line-through;color:red'>traps</span> <span style='text-decoration:line-through;color:red'>which</span> <span style='text-decoration:line-through;color:red'>connect</span> <span style='text-decoration:line-through;color:red'>into</span> <span style='color:green;font-weight:bold'>traps,</span> <span style='color:green;font-weight:bold'>connecting</span> <span style='color:green;font-weight:bold'>to</span> SML <span style='text-decoration:line-through;color:red'>lightweight</span> <span style='text-decoration:line-through;color:red'>dry-jointed</span> cast iron downpipes <span style='text-decoration:line-through;color:red'>to</span> <span style='color:green;font-weight:bold'>and</span> the <span style='text-decoration:line-through;color:red'>local</span> <span style='text-decoration:line-through;color:red'>underground</span> foul water <span style='text-decoration:line-through;color:red'>network</span> <span style='text-decoration:line-through;color:red'>sewer</span> <span style='text-decoration:line-through;color:red'>system.</span> <span style='color:green;font-weight:bold'>network.</span> Foul waste from the WCs <span style='text-decoration:line-through;color:red'>discharge</span> <span style='color:green;font-weight:bold'>discharges</span> into vertical SML <span style='text-decoration:line-through;color:red'>lightweight</span> <span style='text-decoration:line-through;color:red'>dry-jointed</span> <span style='text-decoration:line-through;color:red'>cast</span> <span style='text-decoration:line-through;color:red'>iron</span> <span style='text-decoration:line-through;color:red'>downpipes</span> soil and vent stacks and enters the <span style='text-decoration:line-through;color:red'>local</span> foul water <span style='text-decoration:line-through;color:red'>waste</span> network."
"Page 19, Survey Report (Section 3)",The drainage system is routinely tested/maintained. These services should remain serviceable to the long term. Statutory test/maintenance documentation is available.,The drainage system is routinely tested/maintained and appears serviceable for the long term. Statutory test/maintenance documentation for the drainage system was available for review.,"Clarifies that documentation for this specific system *was* available, which is an important exception given the general lack of documentation elsewhere. This improves internal consistency and phrasing.","Internal Consistency, Clarity, Grammar",The drainage system is routinely <span style='text-decoration:line-through;color:red'>tested/maintained.</span> <span style='text-decoration:line-through;color:red'>These</span> <span style='text-decoration:line-through;color:red'>services</span> <span style='text-decoration:line-through;color:red'>should</span> <span style='text-decoration:line-through;color:red'>remain</span> <span style='color:green;font-weight:bold'>tested/maintained</span> <span style='color:green;font-weight:bold'>and</span> <span style='color:green;font-weight:bold'>appears</span> serviceable <span style='text-decoration:line-through;color:red'>to</span> <span style='color:green;font-weight:bold'>for</span> the long term. Statutory test/maintenance documentation <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>available.</span> <span style='color:green;font-weight:bold'>for</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>drainage</span> <span style='color:green;font-weight:bold'>system</span> <span style='color:green;font-weight:bold'>was</span> <span style='color:green;font-weight:bold'>available</span> <span style='color:green;font-weight:bold'>for</span> <span style='color:green;font-weight:bold'>review.</span>
"Page 19, Survey Report (Section 3)","No inspection was taken of the below ground drainage, and no manholes were lifted. Although no concerns were raised with the below ground drainage it is recommended that a specialist underground CCTV survey is undertaken to assess the integrity of these services.","No inspection of the below-ground drainage was undertaken, and no manholes were lifted. Although no defects were apparent during the visual survey, we recommend a specialist underground CCTV survey to assess the integrity of these services.","Hyphenates 'below-ground' for consistency and reframes the sentence to be more precise about the limits of a visual survey, strengthening the recommendation.","Grammar, Professionalism & Presentation","No inspection <span style='text-decoration:line-through;color:red'>was</span> <span style='text-decoration:line-through;color:red'>taken</span> of the <span style='text-decoration:line-through;color:red'>below</span> <span style='text-decoration:line-through;color:red'>ground</span> <span style='text-decoration:line-through;color:red'>drainage,</span> <span style='color:green;font-weight:bold'>below-ground</span> <span style='color:green;font-weight:bold'>drainage</span> <span style='color:green;font-weight:bold'>was</span> <span style='color:green;font-weight:bold'>undertaken,</span> and no manholes were lifted. Although no <span style='text-decoration:line-through;color:red'>concerns</span> <span style='color:green;font-weight:bold'>defects</span> were <span style='text-decoration:line-through;color:red'>raised</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='color:green;font-weight:bold'>apparent</span> <span style='color:green;font-weight:bold'>during</span> the <span style='text-decoration:line-through;color:red'>below</span> <span style='text-decoration:line-through;color:red'>ground</span> <span style='text-decoration:line-through;color:red'>drainage</span> <span style='text-decoration:line-through;color:red'>it</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>recommended</span> <span style='text-decoration:line-through;color:red'>that</span> <span style='color:green;font-weight:bold'>visual</span> <span style='color:green;font-weight:bold'>survey,</span> <span style='color:green;font-weight:bold'>we</span> <span style='color:green;font-weight:bold'>recommend</span> a specialist underground CCTV survey <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>undertaken</span> to assess the integrity of these services."
"Page 20, Survey Report (Section 3)","Duplex 13-person 1000 kg passenger lifts manufactured by Otis are installed for travel between lower ground floor and sixth floor. Each lift is provided with centre sliding stainless steel doors and architraves. The lift cars are finished with stainless side panels, half rear mirror, stainless steel handrails, ceramic floor tiles and recessed LED lighting.","Duplex 13-person, 1000 kg passenger lifts by Otis are installed for travel between the lower ground and sixth floors. Each lift has centre-sliding stainless-steel doors and architraves. The lift cars are finished with stainless-steel side panels, a half-rear mirror, stainless steel handrails, ceramic floor tiles, and recessed LED lighting.","Corrects 'stainless side panels' to 'stainless-steel', adds hyphens to compound adjectives, and improves punctuation for better readability and professionalism.","Technical Accuracy, Grammar, Professionalism & Presentation","Duplex <span style='text-decoration:line-through;color:red'>13-person</span> <span style='color:green;font-weight:bold'>13-person,</span> 1000 kg passenger lifts <span style='text-decoration:line-through;color:red'>manufactured</span> by Otis are installed for travel between <span style='color:green;font-weight:bold'>the</span> lower ground <span style='text-decoration:line-through;color:red'>floor</span> and sixth <span style='text-decoration:line-through;color:red'>floor.</span> <span style='color:green;font-weight:bold'>floors.</span> Each lift <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>provided</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>centre</span> <span style='text-decoration:line-through;color:red'>sliding</span> <span style='text-decoration:line-through;color:red'>stainless</span> <span style='text-decoration:line-through;color:red'>steel</span> <span style='color:green;font-weight:bold'>has</span> <span style='color:green;font-weight:bold'>centre-sliding</span> <span style='color:green;font-weight:bold'>stainless-steel</span> doors and architraves. The lift cars are finished with <span style='text-decoration:line-through;color:red'>stainless</span> <span style='color:green;font-weight:bold'>stainless-steel</span> side panels, <span style='text-decoration:line-through;color:red'>half</span> <span style='text-decoration:line-through;color:red'>rear</span> <span style='color:green;font-weight:bold'>a</span> <span style='color:green;font-weight:bold'>half-rear</span> mirror, stainless steel handrails, ceramic floor <span style='text-decoration:line-through;color:red'>tiles</span> <span style='color:green;font-weight:bold'>tiles,</span> and recessed LED lighting."
"Page 20, Survey Report (Section 3)","A single 8-person 650 kg goods lift manufactured by Otis is installed for travel between basement and sixth floor. The lift is provided with centre sliding painted steel dual aspect doors and architraves. The lift car is finished with stainless side panels, stainless steel handrails, ceramic floor tiles and recessed LED lighting.","A single 8-person, 650 kg goods lift by Otis is installed for travel between the basement and sixth floor. The lift has centre-sliding, dual-aspect painted steel doors and architraves. The lift car is finished with stainless-steel side panels, stainless steel handrails, ceramic floor tiles, and recessed LED lighting.","Corrects 'stainless side panels' to 'stainless-steel', adds hyphens to compound adjectives, and improves punctuation for better readability and professionalism.","Technical Accuracy, Grammar, Professionalism & Presentation","A single <span style='text-decoration:line-through;color:red'>8-person</span> <span style='color:green;font-weight:bold'>8-person,</span> 650 kg goods lift <span style='text-decoration:line-through;color:red'>manufactured</span> by Otis is installed for travel between <span style='color:green;font-weight:bold'>the</span> basement and sixth floor. The lift <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>provided</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>centre</span> <span style='text-decoration:line-through;color:red'>sliding</span> <span style='color:green;font-weight:bold'>has</span> <span style='color:green;font-weight:bold'>centre-sliding,</span> <span style='color:green;font-weight:bold'>dual-aspect</span> painted steel <span style='text-decoration:line-through;color:red'>dual</span> <span style='text-decoration:line-through;color:red'>aspect</span> doors and architraves. The lift car is finished with <span style='text-decoration:line-through;color:red'>stainless</span> <span style='color:green;font-weight:bold'>stainless-steel</span> side panels, stainless steel handrails, ceramic floor <span style='text-decoration:line-through;color:red'>tiles</span> <span style='color:green;font-weight:bold'>tiles,</span> and recessed LED lighting."
"Page 20, Survey Report (Section 3)","In Cove Apartments a single 10-person 800 kg passenger lift manufactured by Otis is installed for travel between basement and sixth floor. The lift is provided with centre sliding stainless steel dual aspect doors and architraves. The lift car is finished with stainless side panels, stainless steel handrails, ceramic floor tiles and recessed LED lighting.","In Cove Apartments, a single 10-person, 800 kg passenger lift by Otis is installed for travel between the basement and sixth floor. The lift has centre-sliding, dual-aspect stainless-steel doors and architraves. The lift car is finished with stainless-steel side panels, stainless steel handrails, ceramic floor tiles, and recessed LED lighting.","Corrects 'stainless side panels' to 'stainless-steel', adds hyphens to compound adjectives, and improves punctuation for better readability and professionalism.","Technical Accuracy, Grammar, Professionalism & Presentation","In Cove <span style='text-decoration:line-through;color:red'>Apartments</span> <span style='color:green;font-weight:bold'>Apartments,</span> a single <span style='text-decoration:line-through;color:red'>10-person</span> <span style='color:green;font-weight:bold'>10-person,</span> 800 kg passenger lift <span style='text-decoration:line-through;color:red'>manufactured</span> by Otis is installed for travel between <span style='color:green;font-weight:bold'>the</span> basement and sixth floor. The lift <span style='text-decoration:line-through;color:red'>is</span> <span style='text-decoration:line-through;color:red'>provided</span> <span style='text-decoration:line-through;color:red'>with</span> <span style='text-decoration:line-through;color:red'>centre</span> <span style='text-decoration:line-through;color:red'>sliding</span> <span style='text-decoration:line-through;color:red'>stainless</span> <span style='text-decoration:line-through;color:red'>steel</span> <span style='text-decoration:line-through;color:red'>dual</span> <span style='text-decoration:line-through;color:red'>aspect</span> <span style='color:green;font-weight:bold'>has</span> <span style='color:green;font-weight:bold'>centre-sliding,</span> <span style='color:green;font-weight:bold'>dual-aspect</span> <span style='color:green;font-weight:bold'>stainless-steel</span> doors and architraves. The lift car is finished with <span style='text-decoration:line-through;color:red'>stainless</span> <span style='color:green;font-weight:bold'>stainless-steel</span> side panels, stainless steel handrails, ceramic floor <span style='text-decoration:line-through;color:red'>tiles</span> <span style='color:green;font-weight:bold'>tiles,</span> and recessed LED lighting."
"Page 20, Survey Report (Section 3)",All the installed lifts are machine room less (MRL) where all equipment is located in the lift shaft.,"All installed lifts are Machine-Room-Less (MRL), with all core equipment located within the lift shaft.","Hyphenates 'Machine-Room-Less' for correctness and capitalises for consistency, improving the professionalism of the statement.","Grammar, Professionalism & Presentation","All <span style='text-decoration:line-through;color:red'>the</span> installed lifts are <span style='text-decoration:line-through;color:red'>machine</span> <span style='text-decoration:line-through;color:red'>room</span> <span style='text-decoration:line-through;color:red'>less</span> <span style='text-decoration:line-through;color:red'>(MRL)</span> <span style='text-decoration:line-through;color:red'>where</span> <span style='color:green;font-weight:bold'>Machine-Room-Less</span> <span style='color:green;font-weight:bold'>(MRL),</span> <span style='color:green;font-weight:bold'>with</span> all <span style='color:green;font-weight:bold'>core</span> equipment <span style='text-decoration:line-through;color:red'>is</span> located <span style='text-decoration:line-through;color:red'>in</span> <span style='color:green;font-weight:bold'>within</span> the lift shaft."
"Page 20, Survey Report (Section 3)",The lifts within the Aparthotel are currently undergoing major refurbishment due to be complete spring 2025.,"The lifts within the Aparthotel are currently undergoing major refurbishment, anticipated to be completed by Q2 2025.",Improves grammatical correctness ('completed by') and replaces the informal 'spring' with the more professional and specific 'Q2' for improved client clarity.,"Professionalism & Presentation, Grammar, Clarity","The lifts within the Aparthotel are currently undergoing major <span style='text-decoration:line-through;color:red'>refurbishment</span> <span style='text-decoration:line-through;color:red'>due</span> <span style='color:green;font-weight:bold'>refurbishment,</span> <span style='color:green;font-weight:bold'>anticipated</span> to be <span style='text-decoration:line-through;color:red'>complete</span> <span style='text-decoration:line-through;color:red'>spring</span> <span style='color:green;font-weight:bold'>completed</span> <span style='color:green;font-weight:bold'>by</span> <span style='color:green;font-weight:bold'>Q2</span> 2025."
"Page 21, Survey Report (Section 3)",3.6- ENERGY & SUSTAINABILITY,3.6 - ENERGY & SUSTAINABILITY,Adds spaces around the hyphen for consistent section heading format.,Formatting,<span style='text-decoration:line-through;color:red'>3.6-</span> <span style='color:green;font-weight:bold'>3.6</span> <span style='color:green;font-weight:bold'>-</span> ENERGY & SUSTAINABILITY
"Page 21, Survey Report (Section 3)",Under the Energy Performance of Buildings Directive an Energy Performance Certificate (EPC) is required under Government legislation for a Building of more than 50m2 which is subject to sale or lease after 1st July 2008.,"Under the Energy Performance of Buildings Directive, an Energy Performance Certificate (EPC) is required under Government legislation for a non-domestic building subject to sale or lease after 1 July 2008.","Removes the '50m²' threshold, as it is not universally applicable for non-domestic EPCs on sale/lease, making the statement more technically accurate. Also improves punctuation, capitalisation and standardises the date format.","Technical Accuracy, Grammar","Under the Energy Performance of Buildings <span style='text-decoration:line-through;color:red'>Directive</span> <span style='color:green;font-weight:bold'>Directive,</span> an Energy Performance Certificate (EPC) is required under Government legislation for a <span style='text-decoration:line-through;color:red'>Building</span> <span style='text-decoration:line-through;color:red'>of</span> <span style='text-decoration:line-through;color:red'>more</span> <span style='text-decoration:line-through;color:red'>than</span> <span style='text-decoration:line-through;color:red'>50m2</span> <span style='text-decoration:line-through;color:red'>which</span> <span style='text-decoration:line-through;color:red'>is</span> <span style='color:green;font-weight:bold'>non-domestic</span> <span style='color:green;font-weight:bold'>building</span> subject to sale or lease after <span style='text-decoration:line-through;color:red'>1st</span> <span style='color:green;font-weight:bold'>1</span> July 2008."
"Page 21, Survey Report (Section 3)","We have located on the National Database an energy performance certificate (EPC) for the property, it gives rating as follows.","We have located an energy performance certificate (EPC) for the property on the National Database, which gives the following rating:",Rephrases the sentence for better grammatical flow and professionalism.,Grammar,"We have located <span style='text-decoration:line-through;color:red'>on</span> <span style='text-decoration:line-through;color:red'>the</span> <span style='text-decoration:line-through;color:red'>National</span> <span style='text-decoration:line-through;color:red'>Database</span> an energy performance certificate (EPC) for the <span style='text-decoration:line-through;color:red'>property,</span> <span style='text-decoration:line-through;color:red'>it</span> <span style='color:green;font-weight:bold'>property</span> <span style='color:green;font-weight:bold'>on</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>National</span> <span style='color:green;font-weight:bold'>Database,</span> <span style='color:green;font-weight:bold'>which</span> gives <span style='text-decoration:line-through;color:red'>rating</span> <span style='text-decoration:line-through;color:red'>as</span> <span style='text-decoration:line-through;color:red'>follows.</span> <span style='color:green;font-weight:bold'>the</span> <span style='color:green;font-weight:bold'>following</span> <span style='color:green;font-weight:bold'>rating:</span>"
"Page 21, Survey Report (Section 3)",Property's energy rating and score is B48 (expires 10th May 2033).,Property's energy rating and score is B48 (expires 10 May 2033).,Standardises the date format for professional consistency.,Formatting,Property's energy rating and score is B48 (expires <span style='text-decoration:line-through;color:red'>10th</span> <span style='color:green;font-weight:bold'>10</span> May 2033).
